pattern_id,pattern_type,description,threshold
P101972,layering,Multiple sequential transfers across accounts,1
P101973,smurfing,Multiple small transactions within short time,2
P101974,velocity,High frequency transactions in short time,9
P101975,circular,Money returns to original account,3
P101976,velocity,High frequency transactions in short time,9
P101977,smurfing,Multiple small transactions within short time,1
P101978,circular,Money returns to original account,10
P101979,layering,Multiple sequential transfers across accounts,6
P101980,velocity,High frequency transactions in short time,5
P101981,circular,Money returns to original account,5
P101982,layering,Multiple sequential transfers across accounts,10
P101983,layering,Multiple sequential transfers across accounts,3
P101984,smurfing,Multiple small transactions within short time,3
P101985,layering,Multiple sequential transfers across accounts,6
P101986,layering,Multiple sequential transfers across accounts,8
P101987,velocity,High frequency transactions in short time,3
P101988,smurfing,Multiple small transactions within short time,8
P101989,smurfing,Multiple small transactions within short time,1
P101990,circular,Money returns to original account,5
P101991,layering,Multiple sequential transfers across accounts,4
P101992,velocity,High frequency transactions in short time,6
P101993,circular,Money returns to original account,6
P101994,layering,Multiple sequential transfers across accounts,3
P101995,smurfing,Multiple small transactions within short time,7
P101996,layering,Multiple sequential transfers across accounts,6
P101997,smurfing,Multiple small transactions within short time,6
P101998,velocity,High frequency transactions in short time,9
P101999,velocity,High frequency transactions in short time,7
P102000,velocity,High frequency transactions in short time,7
P102001,layering,Multiple sequential transfers across accounts,3
P102002,velocity,High frequency transactions in short time,4
P102003,layering,Multiple sequential transfers across accounts,10
P102004,layering,Multiple sequential transfers across accounts,7
P102005,circular,Money returns to original account,5
P102006,circular,Money returns to original account,8
P102007,smurfing,Multiple small transactions within short time,5
P102008,circular,Money returns to original account,3
P102009,layering,Multiple sequential transfers across accounts,4
P102010,circular,Money returns to original account,1
P102011,smurfing,Multiple small transactions within short time,2
P102012,smurfing,Multiple small transactions within short time,2
P102013,layering,Multiple sequential transfers across accounts,8
P102014,circular,Money returns to original account,3
P102015,smurfing,Multiple small transactions within short time,8
P102016,layering,Multiple sequential transfers across accounts,5
P102017,layering,Multiple sequential transfers across accounts,1
P102018,smurfing,Multiple small transactions within short time,1
P102019,smurfing,Multiple small transactions within short time,7
P102020,circular,Money returns to original account,9
P102021,velocity,High frequency transactions in short time,1
P102022,smurfing,Multiple small transactions within short time,5
P102023,layering,Multiple sequential transfers across accounts,7
P102024,smurfing,Multiple small transactions within short time,2
P102025,velocity,High frequency transactions in short time,2
P102026,smurfing,Multiple small transactions within short time,10
P102027,layering,Multiple sequential transfers across accounts,2
P102028,circular,Money returns to original account,2
P102029,smurfing,Multiple small transactions within short time,3
P102030,layering,Multiple sequential transfers across accounts,9
P102031,velocity,High frequency transactions in short time,10
P102032,velocity,High frequency transactions in short time,10
P102033,smurfing,Multiple small transactions within short time,3
P102034,smurfing,Multiple small transactions within short time,5
P102035,layering,Multiple sequential transfers across accounts,8
P102036,layering,Multiple sequential transfers across accounts,9
P102037,layering,Multiple sequential transfers across accounts,10
P102038,layering,Multiple sequential transfers across accounts,7
P102039,circular,Money returns to original account,2
P102040,smurfing,Multiple small transactions within short time,3
P102041,smurfing,Multiple small transactions within short time,1
P102042,smurfing,Multiple small transactions within short time,8
P102043,circular,Money returns to original account,8
P102044,smurfing,Multiple small transactions within short time,5
P102045,velocity,High frequency transactions in short time,9
P102046,smurfing,Multiple small transactions within short time,9
P102047,velocity,High frequency transactions in short time,9
P102048,velocity,High frequency transactions in short time,4
P102049,smurfing,Multiple small transactions within short time,3
P102050,velocity,High frequency transactions in short time,5
P102051,velocity,High frequency transactions in short time,8
P102052,velocity,High frequency transactions in short time,8
P102053,velocity,High frequency transactions in short time,9
P102054,circular,Money returns to original account,4
P102055,layering,Multiple sequential transfers across accounts,3
P102056,circular,Money returns to original account,10
P102057,smurfing,Multiple small transactions within short time,9
P102058,smurfing,Multiple small transactions within short time,1
P102059,smurfing,Multiple small transactions within short time,8
P102060,circular,Money returns to original account,10
P102061,circular,Money returns to original account,7
P102062,velocity,High frequency transactions in short time,1
P102063,circular,Money returns to original account,7
P102064,layering,Multiple sequential transfers across accounts,7
P102065,velocity,High frequency transactions in short time,1
P102066,layering,Multiple sequential transfers across accounts,10
P102067,layering,Multiple sequential transfers across accounts,1
P102068,smurfing,Multiple small transactions within short time,1
P102069,smurfing,Multiple small transactions within short time,2
P102070,layering,Multiple sequential transfers across accounts,8
P102071,circular,Money returns to original account,9
P102072,circular,Money returns to original account,1
P102073,velocity,High frequency transactions in short time,9
P102074,velocity,High frequency transactions in short time,4
P102075,smurfing,Multiple small transactions within short time,10
P102076,velocity,High frequency transactions in short time,5
P102077,velocity,High frequency transactions in short time,4
P102078,smurfing,Multiple small transactions within short time,1
P102079,smurfing,Multiple small transactions within short time,8
P102080,velocity,High frequency transactions in short time,3
P102081,layering,Multiple sequential transfers across accounts,5
P102082,smurfing,Multiple small transactions within short time,7
P102083,circular,Money returns to original account,1
P102084,smurfing,Multiple small transactions within short time,6
P102085,smurfing,Multiple small transactions within short time,1
P102086,layering,Multiple sequential transfers across accounts,2
P102087,smurfing,Multiple small transactions within short time,2
P102088,smurfing,Multiple small transactions within short time,4
P102089,layering,Multiple sequential transfers across accounts,10
P102090,smurfing,Multiple small transactions within short time,4
P102091,smurfing,Multiple small transactions within short time,5
P102092,layering,Multiple sequential transfers across accounts,6
P102093,layering,Multiple sequential transfers across accounts,8
P102094,velocity,High frequency transactions in short time,4
P102095,circular,Money returns to original account,6
P102096,circular,Money returns to original account,9
P102097,smurfing,Multiple small transactions within short time,10
P102098,velocity,High frequency transactions in short time,1
P102099,smurfing,Multiple small transactions within short time,8
P102100,layering,Multiple sequential transfers across accounts,3
P102101,layering,Multiple sequential transfers across accounts,4
P102102,velocity,High frequency transactions in short time,1
P102103,layering,Multiple sequential transfers across accounts,4
P102104,circular,Money returns to original account,3
P102105,smurfing,Multiple small transactions within short time,4
P102106,smurfing,Multiple small transactions within short time,7
P102107,smurfing,Multiple small transactions within short time,8
P102108,circular,Money returns to original account,5
P102109,smurfing,Multiple small transactions within short time,7
P102110,circular,Money returns to original account,2
P102111,velocity,High frequency transactions in short time,8
P102112,smurfing,Multiple small transactions within short time,4
P102113,circular,Money returns to original account,3
P102114,layering,Multiple sequential transfers across accounts,2
P102115,layering,Multiple sequential transfers across accounts,2
P102116,smurfing,Multiple small transactions within short time,7
P102117,layering,Multiple sequential transfers across accounts,5
P102118,velocity,High frequency transactions in short time,2
P102119,circular,Money returns to original account,5
P102120,velocity,High frequency transactions in short time,3
P102121,velocity,High frequency transactions in short time,10
P102122,layering,Multiple sequential transfers across accounts,4
P102123,smurfing,Multiple small transactions within short time,9
P102124,circular,Money returns to original account,4
P102125,circular,Money returns to original account,1
P102126,circular,Money returns to original account,2
P102127,smurfing,Multiple small transactions within short time,2
P102128,layering,Multiple sequential transfers across accounts,3
P102129,velocity,High frequency transactions in short time,3
P102130,circular,Money returns to original account,9
P102131,velocity,High frequency transactions in short time,10
P102132,layering,Multiple sequential transfers across accounts,7
P102133,velocity,High frequency transactions in short time,9
P102134,velocity,High frequency transactions in short time,8
P102135,smurfing,Multiple small transactions within short time,6
P102136,velocity,High frequency transactions in short time,5
P102137,circular,Money returns to original account,4
P102138,layering,Multiple sequential transfers across accounts,6
P102139,circular,Money returns to original account,3
P102140,circular,Money returns to original account,7
P102141,layering,Multiple sequential transfers across accounts,10
P102142,smurfing,Multiple small transactions within short time,6
P102143,smurfing,Multiple small transactions within short time,7
P102144,layering,Multiple sequential transfers across accounts,1
P102145,velocity,High frequency transactions in short time,7
P102146,smurfing,Multiple small transactions within short time,4
P102147,velocity,High frequency transactions in short time,4
P102148,layering,Multiple sequential transfers across accounts,5
P102149,layering,Multiple sequential transfers across accounts,9
P102150,layering,Multiple sequential transfers across accounts,5
P102151,layering,Multiple sequential transfers across accounts,9
P102152,circular,Money returns to original account,5
P102153,circular,Money returns to original account,5
P102154,smurfing,Multiple small transactions within short time,1
P102155,smurfing,Multiple small transactions within short time,10
P102156,layering,Multiple sequential transfers across accounts,10
P102157,layering,Multiple sequential transfers across accounts,9
P102158,velocity,High frequency transactions in short time,7
P102159,smurfing,Multiple small transactions within short time,5
P102160,smurfing,Multiple small transactions within short time,8
P102161,smurfing,Multiple small transactions within short time,7
P102162,smurfing,Multiple small transactions within short time,4
P102163,smurfing,Multiple small transactions within short time,5
P102164,smurfing,Multiple small transactions within short time,4
P102165,layering,Multiple sequential transfers across accounts,9
P102166,velocity,High frequency transactions in short time,2
P102167,layering,Multiple sequential transfers across accounts,10
P102168,layering,Multiple sequential transfers across accounts,4
P102169,layering,Multiple sequential transfers across accounts,2
P102170,circular,Money returns to original account,9
P102171,circular,Money returns to original account,6
P102172,circular,Money returns to original account,5
P102173,circular,Money returns to original account,1
P102174,smurfing,Multiple small transactions within short time,8
P102175,layering,Multiple sequential transfers across accounts,6
P102176,circular,Money returns to original account,9
P102177,layering,Multiple sequential transfers across accounts,10
P102178,layering,Multiple sequential transfers across accounts,6
P102179,velocity,High frequency transactions in short time,2
P102180,circular,Money returns to original account,2
P102181,smurfing,Multiple small transactions within short time,4
P102182,layering,Multiple sequential transfers across accounts,5
P102183,circular,Money returns to original account,4
P102184,velocity,High frequency transactions in short time,8
P102185,smurfing,Multiple small transactions within short time,7
P102186,smurfing,Multiple small transactions within short time,2
P102187,velocity,High frequency transactions in short time,4
P102188,smurfing,Multiple small transactions within short time,8
P102189,circular,Money returns to original account,5
P102190,velocity,High frequency transactions in short time,2
P102191,circular,Money returns to original account,6
P102192,velocity,High frequency transactions in short time,3
P102193,velocity,High frequency transactions in short time,7
P102194,smurfing,Multiple small transactions within short time,7
P102195,smurfing,Multiple small transactions within short time,7
P102196,velocity,High frequency transactions in short time,4
P102197,layering,Multiple sequential transfers across accounts,6
P102198,velocity,High frequency transactions in short time,5
P102199,circular,Money returns to original account,6
P102200,circular,Money returns to original account,1
P102201,velocity,High frequency transactions in short time,6
P102202,layering,Multiple sequential transfers across accounts,6
P102203,layering,Multiple sequential transfers across accounts,6
P102204,smurfing,Multiple small transactions within short time,7
P102205,layering,Multiple sequential transfers across accounts,2
P102206,layering,Multiple sequential transfers across accounts,5
P102207,layering,Multiple sequential transfers across accounts,9
P102208,circular,Money returns to original account,1
P102209,velocity,High frequency transactions in short time,7
P102210,circular,Money returns to original account,5
P102211,circular,Money returns to original account,6
P102212,layering,Multiple sequential transfers across accounts,6
P102213,layering,Multiple sequential transfers across accounts,9
P102214,velocity,High frequency transactions in short time,6
P102215,layering,Multiple sequential transfers across accounts,4
P102216,smurfing,Multiple small transactions within short time,8
P102217,circular,Money returns to original account,6
P102218,smurfing,Multiple small transactions within short time,4
P102219,layering,Multiple sequential transfers across accounts,4
P102220,layering,Multiple sequential transfers across accounts,7
P102221,layering,Multiple sequential transfers across accounts,3
P102222,velocity,High frequency transactions in short time,5
P102223,layering,Multiple sequential transfers across accounts,7
P102224,layering,Multiple sequential transfers across accounts,5
P102225,velocity,High frequency transactions in short time,6
P102226,layering,Multiple sequential transfers across accounts,7
P102227,velocity,High frequency transactions in short time,10
P102228,velocity,High frequency transactions in short time,2
P102229,layering,Multiple sequential transfers across accounts,1
P102230,layering,Multiple sequential transfers across accounts,7
P102231,smurfing,Multiple small transactions within short time,4
P102232,smurfing,Multiple small transactions within short time,5
P102233,velocity,High frequency transactions in short time,3
P102234,layering,Multiple sequential transfers across accounts,5
P102235,smurfing,Multiple small transactions within short time,3
P102236,velocity,High frequency transactions in short time,6
P102237,smurfing,Multiple small transactions within short time,2
P102238,velocity,High frequency transactions in short time,6
P102239,layering,Multiple sequential transfers across accounts,6
P102240,smurfing,Multiple small transactions within short time,3
P102241,smurfing,Multiple small transactions within short time,3
P102242,layering,Multiple sequential transfers across accounts,6
P102243,smurfing,Multiple small transactions within short time,3
P102244,circular,Money returns to original account,5
P102245,smurfing,Multiple small transactions within short time,10
P102246,circular,Money returns to original account,9
P102247,layering,Multiple sequential transfers across accounts,10
P102248,circular,Money returns to original account,6
P102249,smurfing,Multiple small transactions within short time,10
P102250,smurfing,Multiple small transactions within short time,3
P102251,velocity,High frequency transactions in short time,2
P102252,circular,Money returns to original account,9
P102253,smurfing,Multiple small transactions within short time,4
P102254,velocity,High frequency transactions in short time,4
P102255,layering,Multiple sequential transfers across accounts,1
P102256,layering,Multiple sequential transfers across accounts,9
P102257,layering,Multiple sequential transfers across accounts,10
P102258,velocity,High frequency transactions in short time,2
P102259,layering,Multiple sequential transfers across accounts,7
P102260,layering,Multiple sequential transfers across accounts,5
P102261,layering,Multiple sequential transfers across accounts,2
P102262,circular,Money returns to original account,3
P102263,circular,Money returns to original account,2
P102264,circular,Money returns to original account,1
P102265,layering,Multiple sequential transfers across accounts,10
P102266,smurfing,Multiple small transactions within short time,1
P102267,layering,Multiple sequential transfers across accounts,2
P102268,smurfing,Multiple small transactions within short time,2
P102269,velocity,High frequency transactions in short time,7
P102270,layering,Multiple sequential transfers across accounts,7
P102271,layering,Multiple sequential transfers across accounts,8
P102272,layering,Multiple sequential transfers across accounts,1
P102273,smurfing,Multiple small transactions within short time,10
P102274,velocity,High frequency transactions in short time,9
P102275,circular,Money returns to original account,6
P102276,layering,Multiple sequential transfers across accounts,2
P102277,velocity,High frequency transactions in short time,10
P102278,circular,Money returns to original account,2
P102279,smurfing,Multiple small transactions within short time,3
P102280,velocity,High frequency transactions in short time,2
P102281,layering,Multiple sequential transfers across accounts,2
P102282,smurfing,Multiple small transactions within short time,5
P102283,circular,Money returns to original account,7
P102284,circular,Money returns to original account,9
P102285,layering,Multiple sequential transfers across accounts,9
P102286,layering,Multiple sequential transfers across accounts,1
P102287,smurfing,Multiple small transactions within short time,3
P102288,smurfing,Multiple small transactions within short time,1
P102289,layering,Multiple sequential transfers across accounts,7
P102290,velocity,High frequency transactions in short time,5
P102291,circular,Money returns to original account,2
P102292,smurfing,Multiple small transactions within short time,7
P102293,smurfing,Multiple small transactions within short time,5
P102294,smurfing,Multiple small transactions within short time,8
P102295,velocity,High frequency transactions in short time,7
P102296,smurfing,Multiple small transactions within short time,1
P102297,circular,Money returns to original account,8
P102298,circular,Money returns to original account,6
P102299,circular,Money returns to original account,1
P102300,circular,Money returns to original account,8
P102301,circular,Money returns to original account,8
P102302,circular,Money returns to original account,2
P102303,velocity,High frequency transactions in short time,2
P102304,layering,Multiple sequential transfers across accounts,4
P102305,circular,Money returns to original account,5
P102306,velocity,High frequency transactions in short time,2
P102307,layering,Multiple sequential transfers across accounts,9
P102308,circular,Money returns to original account,7
P102309,circular,Money returns to original account,1
P102310,smurfing,Multiple small transactions within short time,2
P102311,velocity,High frequency transactions in short time,2
P102312,smurfing,Multiple small transactions within short time,4
P102313,velocity,High frequency transactions in short time,7
P102314,velocity,High frequency transactions in short time,5
P102315,velocity,High frequency transactions in short time,3
P102316,smurfing,Multiple small transactions within short time,9
P102317,velocity,High frequency transactions in short time,7
P102318,circular,Money returns to original account,6
P102319,velocity,High frequency transactions in short time,6
P102320,velocity,High frequency transactions in short time,8
P102321,smurfing,Multiple small transactions within short time,8
P102322,layering,Multiple sequential transfers across accounts,10
P102323,layering,Multiple sequential transfers across accounts,3
P102324,layering,Multiple sequential transfers across accounts,5
P102325,layering,Multiple sequential transfers across accounts,6
P102326,velocity,High frequency transactions in short time,1
P102327,smurfing,Multiple small transactions within short time,3
P102328,circular,Money returns to original account,10
P102329,circular,Money returns to original account,3
P102330,circular,Money returns to original account,10
P102331,layering,Multiple sequential transfers across accounts,9
P102332,layering,Multiple sequential transfers across accounts,4
P102333,layering,Multiple sequential transfers across accounts,5
P102334,layering,Multiple sequential transfers across accounts,1
P102335,velocity,High frequency transactions in short time,8
P102336,velocity,High frequency transactions in short time,4
P102337,velocity,High frequency transactions in short time,6
P102338,velocity,High frequency transactions in short time,4
P102339,layering,Multiple sequential transfers across accounts,7
P102340,smurfing,Multiple small transactions within short time,10
P102341,velocity,High frequency transactions in short time,4
P102342,layering,Multiple sequential transfers across accounts,6
P102343,layering,Multiple sequential transfers across accounts,5
P102344,layering,Multiple sequential transfers across accounts,6
P102345,circular,Money returns to original account,5
P102346,smurfing,Multiple small transactions within short time,9
P102347,velocity,High frequency transactions in short time,6
P102348,smurfing,Multiple small transactions within short time,4
P102349,velocity,High frequency transactions in short time,3
P102350,layering,Multiple sequential transfers across accounts,1
P102351,circular,Money returns to original account,4
P102352,velocity,High frequency transactions in short time,4
P102353,smurfing,Multiple small transactions within short time,9
P102354,layering,Multiple sequential transfers across accounts,7
P102355,smurfing,Multiple small transactions within short time,4
P102356,circular,Money returns to original account,4
P102357,circular,Money returns to original account,9
P102358,velocity,High frequency transactions in short time,3
P102359,circular,Money returns to original account,1
P102360,layering,Multiple sequential transfers across accounts,7
P102361,velocity,High frequency transactions in short time,3
P102362,circular,Money returns to original account,6
P102363,smurfing,Multiple small transactions within short time,3
P102364,velocity,High frequency transactions in short time,5
P102365,circular,Money returns to original account,6
P102366,smurfing,Multiple small transactions within short time,6
P102367,smurfing,Multiple small transactions within short time,3
P102368,smurfing,Multiple small transactions within short time,8
P102369,smurfing,Multiple small transactions within short time,3
P102370,velocity,High frequency transactions in short time,9
P102371,circular,Money returns to original account,6
P102372,layering,Multiple sequential transfers across accounts,2
P102373,layering,Multiple sequential transfers across accounts,4
P102374,circular,Money returns to original account,5
P102375,layering,Multiple sequential transfers across accounts,2
P102376,velocity,High frequency transactions in short time,10
P102377,circular,Money returns to original account,1
P102378,velocity,High frequency transactions in short time,8
P102379,smurfing,Multiple small transactions within short time,8
P102380,layering,Multiple sequential transfers across accounts,8
P102381,smurfing,Multiple small transactions within short time,8
P102382,circular,Money returns to original account,7
P102383,layering,Multiple sequential transfers across accounts,6
P102384,layering,Multiple sequential transfers across accounts,2
P102385,smurfing,Multiple small transactions within short time,3
P102386,circular,Money returns to original account,3
P102387,velocity,High frequency transactions in short time,10
P102388,circular,Money returns to original account,7
P102389,layering,Multiple sequential transfers across accounts,7
P102390,smurfing,Multiple small transactions within short time,2
P102391,smurfing,Multiple small transactions within short time,2
P102392,circular,Money returns to original account,2
P102393,layering,Multiple sequential transfers across accounts,5
P102394,velocity,High frequency transactions in short time,5
P102395,smurfing,Multiple small transactions within short time,7
P102396,circular,Money returns to original account,8
P102397,velocity,High frequency transactions in short time,10
P102398,circular,Money returns to original account,6
P102399,circular,Money returns to original account,3
P102400,smurfing,Multiple small transactions within short time,1
P102401,velocity,High frequency transactions in short time,9
P102402,layering,Multiple sequential transfers across accounts,4
P102403,layering,Multiple sequential transfers across accounts,4
P102404,smurfing,Multiple small transactions within short time,2
P102405,circular,Money returns to original account,7
P102406,smurfing,Multiple small transactions within short time,2
P102407,smurfing,Multiple small transactions within short time,9
P102408,smurfing,Multiple small transactions within short time,1
P102409,circular,Money returns to original account,8
P102410,layering,Multiple sequential transfers across accounts,10
P102411,layering,Multiple sequential transfers across accounts,8
P102412,circular,Money returns to original account,2
P102413,layering,Multiple sequential transfers across accounts,3
P102414,circular,Money returns to original account,5
P102415,circular,Money returns to original account,7
P102416,circular,Money returns to original account,9
P102417,velocity,High frequency transactions in short time,9
P102418,layering,Multiple sequential transfers across accounts,5
P102419,circular,Money returns to original account,4
P102420,smurfing,Multiple small transactions within short time,7
P102421,layering,Multiple sequential transfers across accounts,3
P102422,smurfing,Multiple small transactions within short time,10
P102423,smurfing,Multiple small transactions within short time,2
P102424,velocity,High frequency transactions in short time,3
P102425,smurfing,Multiple small transactions within short time,6
P102426,circular,Money returns to original account,2
P102427,circular,Money returns to original account,4
P102428,layering,Multiple sequential transfers across accounts,3
P102429,layering,Multiple sequential transfers across accounts,4
P102430,velocity,High frequency transactions in short time,3
P102431,velocity,High frequency transactions in short time,10
P102432,layering,Multiple sequential transfers across accounts,6
P102433,velocity,High frequency transactions in short time,9
P102434,circular,Money returns to original account,1
P102435,smurfing,Multiple small transactions within short time,9
P102436,layering,Multiple sequential transfers across accounts,3
P102437,circular,Money returns to original account,5
P102438,velocity,High frequency transactions in short time,4
P102439,velocity,High frequency transactions in short time,10
P102440,velocity,High frequency transactions in short time,9
P102441,layering,Multiple sequential transfers across accounts,5
P102442,smurfing,Multiple small transactions within short time,8
P102443,velocity,High frequency transactions in short time,7
P102444,velocity,High frequency transactions in short time,4
P102445,layering,Multiple sequential transfers across accounts,5
P102446,circular,Money returns to original account,5
P102447,velocity,High frequency transactions in short time,2
P102448,circular,Money returns to original account,6
P102449,layering,Multiple sequential transfers across accounts,7
P102450,velocity,High frequency transactions in short time,10
P102451,layering,Multiple sequential transfers across accounts,1
P102452,velocity,High frequency transactions in short time,8
P102453,smurfing,Multiple small transactions within short time,3
P102454,layering,Multiple sequential transfers across accounts,10
P102455,smurfing,Multiple small transactions within short time,7
P102456,layering,Multiple sequential transfers across accounts,4
P102457,velocity,High frequency transactions in short time,1
P102458,smurfing,Multiple small transactions within short time,7
P102459,smurfing,Multiple small transactions within short time,6
P102460,circular,Money returns to original account,10
P102461,velocity,High frequency transactions in short time,2
P102462,smurfing,Multiple small transactions within short time,5
P102463,velocity,High frequency transactions in short time,5
P102464,smurfing,Multiple small transactions within short time,5
P102465,velocity,High frequency transactions in short time,4
P102466,velocity,High frequency transactions in short time,2
P102467,velocity,High frequency transactions in short time,3
P102468,layering,Multiple sequential transfers across accounts,9
P102469,velocity,High frequency transactions in short time,4
P102470,layering,Multiple sequential transfers across accounts,3
P102471,circular,Money returns to original account,9
P102472,layering,Multiple sequential transfers across accounts,7
P102473,layering,Multiple sequential transfers across accounts,9
P102474,velocity,High frequency transactions in short time,2
P102475,velocity,High frequency transactions in short time,10
P102476,velocity,High frequency transactions in short time,5
P102477,velocity,High frequency transactions in short time,3
P102478,velocity,High frequency transactions in short time,10
P102479,circular,Money returns to original account,3
P102480,layering,Multiple sequential transfers across accounts,8
P102481,velocity,High frequency transactions in short time,4
P102482,velocity,High frequency transactions in short time,7
P102483,circular,Money returns to original account,10
P102484,smurfing,Multiple small transactions within short time,5
P102485,circular,Money returns to original account,4
P102486,circular,Money returns to original account,2
P102487,smurfing,Multiple small transactions within short time,4
P102488,layering,Multiple sequential transfers across accounts,10
P102489,circular,Money returns to original account,5
P102490,smurfing,Multiple small transactions within short time,7
P102491,velocity,High frequency transactions in short time,10
P102492,circular,Money returns to original account,8
P102493,smurfing,Multiple small transactions within short time,7
P102494,layering,Multiple sequential transfers across accounts,7
P102495,circular,Money returns to original account,10
P102496,velocity,High frequency transactions in short time,10
P102497,layering,Multiple sequential transfers across accounts,5
P102498,circular,Money returns to original account,5
P102499,layering,Multiple sequential transfers across accounts,4
P102500,velocity,High frequency transactions in short time,5
P102501,circular,Money returns to original account,9
P102502,smurfing,Multiple small transactions within short time,1
P102503,circular,Money returns to original account,10
P102504,circular,Money returns to original account,2
P102505,layering,Multiple sequential transfers across accounts,3
P102506,smurfing,Multiple small transactions within short time,7
P102507,circular,Money returns to original account,9
P102508,layering,Multiple sequential transfers across accounts,2
P102509,smurfing,Multiple small transactions within short time,3
P102510,velocity,High frequency transactions in short time,3
P102511,circular,Money returns to original account,4
P102512,smurfing,Multiple small transactions within short time,4
P102513,smurfing,Multiple small transactions within short time,5
P102514,smurfing,Multiple small transactions within short time,9
P102515,smurfing,Multiple small transactions within short time,6
P102516,velocity,High frequency transactions in short time,5
P102517,layering,Multiple sequential transfers across accounts,8
P102518,smurfing,Multiple small transactions within short time,3
P102519,circular,Money returns to original account,4
P102520,velocity,High frequency transactions in short time,9
P102521,velocity,High frequency transactions in short time,2
P102522,circular,Money returns to original account,10
P102523,smurfing,Multiple small transactions within short time,4
P102524,circular,Money returns to original account,10
P102525,circular,Money returns to original account,9
P102526,smurfing,Multiple small transactions within short time,7
P102527,layering,Multiple sequential transfers across accounts,10
P102528,layering,Multiple sequential transfers across accounts,5
P102529,smurfing,Multiple small transactions within short time,6
P102530,velocity,High frequency transactions in short time,5
P102531,circular,Money returns to original account,5
P102532,layering,Multiple sequential transfers across accounts,8
P102533,velocity,High frequency transactions in short time,8
P102534,circular,Money returns to original account,1
P102535,smurfing,Multiple small transactions within short time,3
P102536,circular,Money returns to original account,4
P102537,smurfing,Multiple small transactions within short time,1
P102538,layering,Multiple sequential transfers across accounts,3
P102539,velocity,High frequency transactions in short time,4
P102540,velocity,High frequency transactions in short time,10
P102541,circular,Money returns to original account,7
P102542,circular,Money returns to original account,3
P102543,velocity,High frequency transactions in short time,8
P102544,circular,Money returns to original account,8
P102545,layering,Multiple sequential transfers across accounts,6
P102546,layering,Multiple sequential transfers across accounts,2
P102547,layering,Multiple sequential transfers across accounts,2
P102548,circular,Money returns to original account,6
P102549,velocity,High frequency transactions in short time,3
P102550,layering,Multiple sequential transfers across accounts,4
P102551,smurfing,Multiple small transactions within short time,10
P102552,circular,Money returns to original account,4
P102553,velocity,High frequency transactions in short time,8
P102554,circular,Money returns to original account,1
P102555,circular,Money returns to original account,3
P102556,circular,Money returns to original account,3
P102557,circular,Money returns to original account,3
P102558,circular,Money returns to original account,3
P102559,layering,Multiple sequential transfers across accounts,10
P102560,velocity,High frequency transactions in short time,1
P102561,circular,Money returns to original account,4
P102562,layering,Multiple sequential transfers across accounts,5
P102563,layering,Multiple sequential transfers across accounts,2
P102564,circular,Money returns to original account,4
P102565,circular,Money returns to original account,10
P102566,circular,Money returns to original account,5
P102567,velocity,High frequency transactions in short time,3
P102568,smurfing,Multiple small transactions within short time,6
P102569,layering,Multiple sequential transfers across accounts,8
P102570,layering,Multiple sequential transfers across accounts,4
P102571,velocity,High frequency transactions in short time,6
P102572,velocity,High frequency transactions in short time,3
P102573,velocity,High frequency transactions in short time,5
P102574,circular,Money returns to original account,8
P102575,velocity,High frequency transactions in short time,8
P102576,circular,Money returns to original account,5
P102577,smurfing,Multiple small transactions within short time,9
P102578,circular,Money returns to original account,7
P102579,layering,Multiple sequential transfers across accounts,3
P102580,velocity,High frequency transactions in short time,3
P102581,velocity,High frequency transactions in short time,8
P102582,velocity,High frequency transactions in short time,1
P102583,layering,Multiple sequential transfers across accounts,5
P102584,layering,Multiple sequential transfers across accounts,7
P102585,velocity,High frequency transactions in short time,9
P102586,velocity,High frequency transactions in short time,3
P102587,velocity,High frequency transactions in short time,6
P102588,layering,Multiple sequential transfers across accounts,7
P102589,smurfing,Multiple small transactions within short time,2
P102590,circular,Money returns to original account,1
P102591,smurfing,Multiple small transactions within short time,1
P102592,circular,Money returns to original account,6
P102593,layering,Multiple sequential transfers across accounts,2
P102594,circular,Money returns to original account,4
P102595,velocity,High frequency transactions in short time,2
P102596,smurfing,Multiple small transactions within short time,10
P102597,circular,Money returns to original account,9
P102598,smurfing,Multiple small transactions within short time,5
P102599,smurfing,Multiple small transactions within short time,6
P102600,circular,Money returns to original account,5
P102601,velocity,High frequency transactions in short time,5
P102602,circular,Money returns to original account,1
P102603,smurfing,Multiple small transactions within short time,5
P102604,circular,Money returns to original account,7
P102605,layering,Multiple sequential transfers across accounts,8
P102606,smurfing,Multiple small transactions within short time,4
P102607,layering,Multiple sequential transfers across accounts,3
P102608,circular,Money returns to original account,8
P102609,velocity,High frequency transactions in short time,10
P102610,smurfing,Multiple small transactions within short time,7
P102611,velocity,High frequency transactions in short time,7
P102612,velocity,High frequency transactions in short time,1
P102613,smurfing,Multiple small transactions within short time,7
P102614,layering,Multiple sequential transfers across accounts,3
P102615,circular,Money returns to original account,9
P102616,smurfing,Multiple small transactions within short time,6
P102617,layering,Multiple sequential transfers across accounts,2
P102618,circular,Money returns to original account,8
P102619,layering,Multiple sequential transfers across accounts,4
P102620,smurfing,Multiple small transactions within short time,4
P102621,smurfing,Multiple small transactions within short time,3
P102622,layering,Multiple sequential transfers across accounts,10
P102623,smurfing,Multiple small transactions within short time,8
P102624,layering,Multiple sequential transfers across accounts,6
P102625,velocity,High frequency transactions in short time,2
P102626,velocity,High frequency transactions in short time,4
